Run,AGE,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,tissue,AssemblyName
SRR13202829,not applicable,AMPLICON,74,98293042,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,53218938,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"bam,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9636064,Ion Torrent S5 XL,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_TFS2_ST23_25ng_LIB2,SINGLE,PCR,GENOMIC,Homo sapiens,ION_TORRENT,2021-02-27T00:00:00Z,2020-12-05T19:01:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,GCA_000001405.13
SRR13202830,not applicable,AMPLICON,71,276949654,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,147768546,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"run.zq,bam,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX9636063,Ion Torrent S5 XL,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_TFS2_ST23_25ng_LIB1,SINGLE,PCR,GENOMIC,Homo sapiens,ION_TORRENT,2021-02-27T00:00:00Z,2020-12-05T19:02:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,GCA_000001405.13
SRR13202862,not applicable,AMPLICON,79,219574104,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,117160788,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"run.zq,sra,bam","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX9636031,Ion Torrent S5 XL,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_TFS2_ST22_25ng_LIB4,SINGLE,PCR,GENOMIC,Homo sapiens,ION_TORRENT,2021-02-27T00:00:00Z,2020-12-05T19:03:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,GCA_000001405.13
SRR13202863,not applicable,AMPLICON,80,154581159,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,82332134,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"bam,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX9636030,Ion Torrent S5 XL,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_TFS2_ST22_25ng_LIB3,SINGLE,PCR,GENOMIC,Homo sapiens,ION_TORRENT,2021-02-27T00:00:00Z,2020-12-05T19:02:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,GCA_000001405.13
SRR13385570,not applicable,Targeted-Capture,284,129946999679,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,44203964485,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX9804920,Illumina NovaSeq 6000,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_ILM2_ST10_25ng_LIB4,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2021-01-08T12:22:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,
SRR13385581,not applicable,Targeted-Capture,283,132136463552,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,45401398165,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9804909,Illumina NovaSeq 6000,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_ILM2_ST10_25ng_LIB3,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2021-01-08T12:31:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,
SRR13385586,not applicable,Targeted-Capture,286,109484496098,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,35694718993,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX9804904,Illumina NovaSeq 6000,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_ILM2_ST29_25ng_LIB4,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2021-01-08T15:20:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,
SRR13385587,not applicable,Targeted-Capture,284,136484717207,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,45355507816,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX9804903,Illumina NovaSeq 6000,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_ILM2_ST29_25ng_LIB3,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2021-01-08T16:03:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,
SRR13385588,not applicable,Targeted-Capture,288,122502439652,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,40161233200,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX9804902,Illumina NovaSeq 6000,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_ILM2_ST29_25ng_LIB2,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2021-01-08T14:36:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,
SRR13385589,not applicable,Targeted-Capture,287,143045355180,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,48164833420,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX9804901,Illumina NovaSeq 6000,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_ILM2_ST29_25ng_LIB1,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2021-01-08T14:33:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,
SRR13385592,not applicable,Targeted-Capture,283,146011584582,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,49940832227,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX9804898,Illumina NovaSeq 6000,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_ILM2_ST10_25ng_LIB2,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2021-01-08T15:40:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,
SRR13385603,not applicable,Targeted-Capture,282,114715757107,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,40967774501,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX9804887,Illumina NovaSeq 6000,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_ILM2_ST10_25ng_LIB1,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2021-01-08T20:02:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,
SRR13385612,not applicable,Targeted-Capture,264,88434725858,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,41593490220,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX9804878,Illumina NovaSeq 6000,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_ILM2_ST23_25ng_LIB4,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2021-01-13T07:17:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,
SRR13385613,not applicable,Targeted-Capture,263,95200994586,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,44546582521,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9804877,Illumina NovaSeq 6000,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_ILM2_ST23_25ng_LIB3,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2021-01-12T17:36:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,
SRR13385615,not applicable,Targeted-Capture,262,95971206550,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,44748167835,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX9804875,Illumina NovaSeq 6000,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_ILM2_ST23_25ng_LIB2,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2021-01-13T11:10:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,
SRR13385616,not applicable,Targeted-Capture,252,80460054734,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,36939725368,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX9804874,Illumina NovaSeq 6000,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_ILM2_ST23_25ng_LIB1,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2021-01-13T07:24:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,
